canstr.score,canstr.SI,deadfall.score,deadfall.SI,snag.score,snag.SI,batcan.score,batcan.SI,embed.score,embed.SI,detritus.score,detritus.SI,herb.score,herb.SI,inv.veg.score,inv.veg.SI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,20,1,20,1,4,1,20,1,20,1,20,1,20,1
